Build	Killer	Trapper	Corrupt Intervention	Deadlock	No Way Out	Save The Best For Last
Build	Killer	Trapper	Corrupt Intervention	Deadlock	Save The Best For Last	Whispers
Build	Killer	Wraith	Barbecue & Chilli	Lethal Pursuer	Scourge Hook Pain Resonance	Sloppy Butcher
Build	Killer	Wraith	Jolt	Lethal Pursuer	Scourge Hook Pain Resonance	Surveillance
Build	Killer	Hillbilly	Bamboozle	Barbecue & Chilli	Lethal Pursuer	Scourge Hook Pain Resonance
Build	Killer	Hillbilly	Barbecue & Chilli	Lethal Pursuer	Scourge Hook Pain Resonance	Shadowborn
Build	Killer	Nurse Sally	Barbecue & Chilli	Lethal Pursuer	Scourge Hook Floods of Rage	Scourge Hook Pain Resonance
Build	Killer	Nurse Sally	Jolt	Lethal Pursuer	Scourge Hook Pain Resonance	Surveillance
Build	Killer	Huntress Anna	Barbecue & Chilli	Lethal Pursuer	Scourge Hook Floods of Rage	Scourge Hook Pain Resonance
Build	Killer	Huntress Anna	Barbecue & Chilli	Iron Maiden	Lethal Pursuer	Scourge Hook Pain Resonance
Build	Killer	Myers	Barbecue & Chilli	Lethal Pursuer	Monitor & Abuse	Scourge Hook Pain Resonance
Build	Killer	Myers	Jolt	Lethal Pursuer	Scourge Hook Pain Resonance	Surveillance
Build	Killer	Hag	Corrupt Intervention	Franklin's Demise	Monitor & Abuse	Sloppy Butcher
Build	Killer	Hag	Corrupt Intervention	Monitor & Abuse	Save The Best For Last	Sloppy Butcher
Build	Killer	Doctor	Barbecue & Chilli	Dead Man's Switch	Lethal Pursuer	Scourge Hook Pain Resonance
Build	Killer	Doctor	Jolt	Lethal Pursuer	Scourge Hook Pain Resonance	Surveillance
Build	Killer	Leatherface	Bamboozle	Barbecue & Chilli	Hex Plaything	Lethal Pursuer
Build	Killer	Leatherface	Bamboozle	Barbecue & Chilli	Lethal Pursuer	Scourge Hook Pain Resonance
Build	Killer	Freddy	Barbecue & Chilli	Lethal Pursuer	Save The Best For Last	Scourge Hook Pain Resonance
Build	Killer	Freddy	Jolt	Lethal Pursuer	Scourge Hook Pain Resonance	Surveillance
Build	Killer	Pig	Barbecue & Chilli	Lethal Pursuer	Save The Best For Last	Scourge Hook Pain Resonance
Build	Killer	Pig	Jolt	Lethal Pursuer	Scourge Hook Pain Resonance	Surveillance
Build	Killer	Clown	Barbecue & Chilli	Lethal Pursuer	Save The Best For Last	Scourge Hook Pain Resonance
Build	Killer	Clown	Jolt	Lethal Pursuer	Scourge Hook Pain Resonance	Surveillance
